route_id,transport_mode,cost_eur,distance_km,shipment_date
NL-FR,Air,2316.82,1793,2026-03-19
DE-FR,Sea,1809.46,1014,2026-03-20
FR-ES,Sea,1231.17,1199,2026-03-07
DE-FR,Rail,2356.9,1827,2026-03-18
NL-DE,Air,4240.78,1306,2026-04-05
NL-DE,Rail,1617.13,862,2026-03-09
NL-DE,Sea,3299.77,1119,2026-03-15
DE-FR,Truck,846.96,759,2026-03-21
DE-FR,Sea,1355.01,174,2026-03-30
FR-ES,Truck,2400.63,1628,2026-03-17
NL-IT,Truck,2459.29,1072,2026-03-26
FR-ES,Truck,1671.62,809,2026-03-20
FR-ES,Sea,1896.18,1549,2026-04-03
FR-ES,Rail,1296.19,1472,2026-04-01
NL-FR,Air,6815.86,803,2026-04-01
DE-FR,Air,2800.88,737,2026-03-30
NL-DE,Sea,2489.38,891,2026-03-12
DE-FR,Air,6593.08,1487,2026-03-09
NL-DE,Truck,2002.75,647,2026-03-16
NL-FR,Rail,1422.04,513,2026-03-15
DE-FR,Air,3654.32,369,2026-03-13
NL-FR,Rail,1398.29,1852,2026-03-24
FR-ES,Rail,943.81,1351,2026-03-13
NL-FR,Sea,1187.96,974,2026-03-12
NL-DE,Truck,1564.84,1642,2026-03-31
NL-IT,Sea,1710.35,1271,2026-03-13
FR-ES,Sea,3646.41,1549,2026-03-11
NL-DE,Air,6726.28,264,2026-03-11
NL-IT,Truck,1013.06,1722,2026-03-11
NL-IT,Truck,1630.66,470,2026-03-12
NL-DE,Truck,1717.05,544,2026-03-28
DE-FR,Truck,802.49,994,2026-03-27
NL-DE,Truck,2201.23,692,2026-03-13
DE-FR,Truck,954.82,1053,2026-03-26
NL-DE,Truck,2083.4,628,2026-04-04
NL-FR,Rail,1297.52,1700,2026-03-27
NL-DE,Truck,781.92,1189,2026-03-27
NL-IT,Rail,2696.37,736,2026-03-30
DE-FR,Rail,1439.29,670,2026-03-27
NL-DE,Sea,1155.87,1059,2026-03-30
DE-FR,Truck,829.41,983,2026-03-15
FR-ES,Sea,1614.64,178,2026-03-15
NL-IT,Air,7223.47,1504,2026-03-28
NL-FR,Air,7909.94,980,2026-04-04
NL-IT,Truck,688.3,1167,2026-04-05
DE-FR,Rail,1895.19,1914,2026-03-12
NL-IT,Sea,2141.26,808,2026-03-18
NL-FR,Sea,1611.3,107,2026-03-13
DE-FR,Air,6757.13,584,2026-03-16
NL-FR,Air,6787.48,653,2026-03-09
NL-FR,Air,5346.92,874,2026-03-21
NL-IT,Sea,2089.3,1749,2026-03-26
DE-FR,Air,5042.31,1252,2026-03-14
DE-FR,Air,4182.16,787,2026-03-26
NL-IT,Truck,1380.65,643,2026-03-28
NL-DE,Air,6438.38,674,2026-03-24
FR-ES,Sea,1367.3,1285,2026-04-02
NL-IT,Air,7291.57,346,2026-03-10
NL-DE,Truck,1619.51,295,2026-03-12
FR-ES,Air,7341.55,326,2026-03-08
DE-FR,Air,7149.06,1609,2026-03-19
DE-FR,Rail,2362.53,1500,2026-03-26
DE-FR,Rail,2607.6,556,2026-03-16
NL-IT,Air,4965.27,687,2026-03-09
FR-ES,Rail,1182.28,255,2026-03-13
FR-ES,Rail,1021.4,1798,2026-03-17
NL-FR,Rail,1565.47,1437,2026-03-26
NL-DE,Truck,1371.01,936,2026-03-25
NL-IT,Sea,3531.21,1030,2026-04-05
NL-FR,Air,6435.77,1189,2026-04-03
NL-DE,Air,2022.9,1783,2026-03-09
NL-IT,Truck,2174.08,615,2026-03-11
FR-ES,Truck,931.06,326,2026-03-12
DE-FR,Truck,1316.61,1777,2026-04-02
NL-DE,Air,3396.58,1990,2026-03-09
NL-IT,Truck,2297.69,1860,2026-03-31
NL-IT,Sea,1000.57,1726,2026-04-04
DE-FR,Air,4277.02,600,2026-03-29
NL-IT,Rail,1636.88,695,2026-03-20
NL-FR,Truck,1342.89,713,2026-03-14
NL-IT,Rail,2688.35,1745,2026-03-18
NL-DE,Sea,3261.89,383,2026-03-17
NL-DE,Truck,2425.62,862,2026-03-09
NL-IT,Sea,2598.03,1042,2026-03-17
FR-ES,Rail,1280.58,1952,2026-04-02
NL-DE,Air,3579.89,419,2026-04-05
NL-IT,Air,3702.97,920,2026-04-03
NL-DE,Truck,1099.84,1831,2026-03-10
NL-FR,Air,7263.44,1996,2026-03-08
FR-ES,Rail,1548.89,1185,2026-03-20
NL-IT,Air,2208.02,878,2026-03-23
FR-ES,Rail,2061.37,1448,2026-03-21
DE-FR,Air,3321.35,1112,2026-03-08
DE-FR,Truck,2319.25,1158,2026-03-20
NL-DE,Rail,2733.75,1131,2026-03-24
DE-FR,Sea,2291.28,537,2026-03-25
NL-DE,Rail,2502.54,758,2026-03-11
FR-ES,Air,4660.28,1942,2026-03-31
NL-IT,Air,6732.81,231,2026-03-14
DE-FR,Sea,1395.08,1529,2026-03-25
DE-FR,Truck,2441.53,293,2026-03-13
NL-DE,Rail,1840.37,1892,2026-03-29
NL-DE,Sea,2220.92,1845,2026-03-20
NL-FR,Truck,1444.99,382,2026-03-29
NL-DE,Sea,1830.44,540,2026-03-08
NL-IT,Truck,1464.08,1555,2026-03-24
FR-ES,Air,3241.96,800,2026-03-31
NL-IT,Truck,515.33,503,2026-03-09
FR-ES,Truck,1177.72,1880,2026-03-20
NL-IT,Air,5076.01,1945,2026-03-07
FR-ES,Truck,1294.03,916,2026-03-28
NL-IT,Truck,727.68,1694,2026-03-30
FR-ES,Sea,3622.67,1827,2026-03-26
FR-ES,Rail,2984.2,226,2026-03-23
DE-FR,Truck,1289.15,118,2026-03-25
FR-ES,Air,7445.67,1232,2026-03-25
FR-ES,Truck,1118.75,701,2026-03-30
NL-DE,Air,6927.19,958,2026-03-23
NL-DE,Sea,3152.72,1810,2026-03-17
DE-FR,Rail,1364.73,1089,2026-04-05
FR-ES,Sea,2987.99,1782,2026-03-22
NL-DE,Air,5297.5,1860,2026-03-25
NL-DE,Rail,1506.38,1893,2026-03-08
NL-IT,Truck,1792.9,1966,2026-03-24
NL-IT,Rail,1904.74,1241,2026-03-28
NL-IT,Truck,808.64,1207,2026-03-31
FR-ES,Sea,3222.94,1801,2026-04-03
NL-FR,Air,7947.58,1204,2026-03-28
NL-IT,Rail,1971.48,1956,2026-03-14
FR-ES,Truck,1298.74,1336,2026-03-07
NL-DE,Truck,932.1,1402,2026-03-13
FR-ES,Truck,634.77,1561,2026-03-26
FR-ES,Rail,1688.58,474,2026-03-28
DE-FR,Truck,2223.48,1487,2026-04-04
DE-FR,Air,6934.53,1295,2026-03-22
NL-IT,Truck,1361.97,659,2026-03-11
DE-FR,Sea,2803.22,1503,2026-04-05
DE-FR,Air,4247.32,1032,2026-03-30
NL-DE,Air,2268.67,1316,2026-03-22
NL-FR,Air,4038.61,1567,2026-03-19
NL-IT,Air,2040.26,225,2026-03-26
FR-ES,Truck,702.52,1515,2026-04-04
DE-FR,Air,3307.36,1609,2026-04-05
FR-ES,Sea,3064.82,1557,2026-04-01
NL-IT,Rail,860.58,1702,2026-03-26
NL-IT,Truck,1268.41,1553,2026-03-15
NL-FR,Sea,2163.96,1686,2026-03-19
FR-ES,Rail,2463.67,641,2026-03-27
FR-ES,Truck,2170.96,269,2026-03-09
DE-FR,Truck,1448.01,885,2026-03-09
FR-ES,Truck,2468.03,158,2026-03-22
FR-ES,Rail,1656.86,1859,2026-03-21
FR-ES,Rail,1991.1,1612,2026-03-20
FR-ES,Truck,1583.41,1502,2026-03-14
NL-FR,Sea,2068.56,1539,2026-03-24
FR-ES,Sea,1531.51,1041,2026-03-25
DE-FR,Truck,2432.83,1622,2026-04-05
FR-ES,Air,5497.91,582,2026-03-24
DE-FR,Sea,3450.27,534,2026-03-08
NL-FR,Truck,1969.16,203,2026-03-15
NL-IT,Truck,2085.04,264,2026-03-30
FR-ES,Truck,795.97,756,2026-04-01
NL-IT,Air,7441.66,1240,2026-04-04
DE-FR,Sea,2060.38,345,2026-03-16
DE-FR,Rail,2539.12,1640,2026-03-20
NL-FR,Air,3654.61,1647,2026-03-31
NL-FR,Truck,2398.22,1427,2026-03-25
NL-FR,Air,6527.73,1351,2026-03-31
NL-IT,Sea,1609.67,814,2026-03-12
NL-IT,Sea,2731.84,1073,2026-03-10
DE-FR,Rail,1775.6,1002,2026-03-24
NL-DE,Sea,1601.42,1963,2026-03-17
NL-DE,Truck,1378.3,836,2026-03-29
NL-IT,Sea,1935.7,542,2026-04-01
FR-ES,Truck,2443.07,386,2026-03-14
FR-ES,Air,6575.58,1849,2026-03-26
NL-FR,Sea,3077.6,419,2026-03-07
NL-FR,Truck,1217.43,1804,2026-03-13
NL-DE,Sea,1632.11,1857,2026-03-22
NL-FR,Sea,3993.46,212,2026-03-29
NL-IT,Sea,1006.95,1188,2026-04-02
FR-ES,Truck,1765.81,240,2026-03-29
NL-DE,Air,6613.54,1250,2026-04-05
NL-DE,Air,6200.21,901,2026-03-23
NL-IT,Rail,1696.59,1478,2026-03-29
FR-ES,Sea,2896.27,1808,2026-04-04
NL-IT,Truck,2410.23,457,2026-03-21
NL-FR,Rail,969.1,1869,2026-03-09
NL-FR,Air,4869.56,549,2026-03-11
DE-FR,Truck,1833.71,1413,2026-03-30
NL-IT,Sea,3410.45,1753,2026-03-08
NL-DE,Sea,2429.31,1012,2026-03-28
FR-ES,Rail,2953.76,1526,2026-03-16
NL-DE,Sea,2943.45,282,2026-03-14
NL-FR,Air,4696.1,1607,2026-03-29
NL-FR,Rail,957.91,1137,2026-03-19
FR-ES,Air,3407.92,507,2026-03-22
DE-FR,Rail,2039.24,1328,2026-03-10
DE-FR,Sea,3161.97,1754,2026-03-23
NL-FR,Rail,1094.42,1762,2026-03-26
NL-DE,Truck,1997.29,1090,2026-03-20
NL-FR,Rail,2522.64,1219,2026-03-15
NL-FR,Rail,2770.6,1899,2026-03-28
NL-DE,Rail,1343.01,1955,2026-03-08
NL-DE,Air,2611.35,1742,2026-03-18
DE-FR,Truck,2185.42,1575,2026-04-02
FR-ES,Rail,2762.12,1206,2026-03-20
DE-FR,Rail,1630.1,790,2026-04-01
NL-FR,Truck,1874.04,1028,2026-03-09
NL-FR,Sea,3532.75,274,2026-03-14
FR-ES,Truck,1926.09,1224,2026-04-05
NL-DE,Air,6566.23,1575,2026-03-22
FR-ES,Truck,1096.1,1975,2026-03-18
NL-FR,Sea,2932.45,1012,2026-04-01
DE-FR,Rail,2904.96,1123,2026-03-28
NL-FR,Sea,2373.1,1891,2026-03-23
DE-FR,Sea,2109.44,1578,2026-03-28
FR-ES,Truck,1333.01,1223,2026-04-04
NL-IT,Air,4226.97,1945,2026-03-13
FR-ES,Rail,1274.63,1978,2026-03-24
DE-FR,Truck,1090.6,373,2026-04-03
DE-FR,Air,7847.55,1272,2026-03-09
NL-DE,Air,4808.92,455,2026-03-16
FR-ES,Air,2258.04,1436,2026-03-20
FR-ES,Rail,2520.43,1167,2026-03-22
FR-ES,Truck,1876.09,1800,2026-03-31
NL-DE,Air,7029.59,967,2026-03-23
NL-IT,Rail,869.13,210,2026-03-31
DE-FR,Truck,2312.13,1659,2026-03-08
NL-FR,Sea,3632.94,1311,2026-03-11
DE-FR,Rail,2477.08,883,2026-03-22
NL-FR,Truck,1542.59,1918,2026-03-15
NL-DE,Truck,652.77,1797,2026-04-01
FR-ES,Rail,1758.12,764,2026-04-05
DE-FR,Sea,2553.88,1948,2026-03-07
NL-IT,Air,2008.12,472,2026-04-02
NL-IT,Truck,2448.39,556,2026-03-26
NL-DE,Air,6699.19,1627,2026-03-29
DE-FR,Truck,1296.01,715,2026-04-03
NL-FR,Truck,956.47,1349,2026-03-09
DE-FR,Truck,1994.89,1341,2026-04-02
FR-ES,Rail,2978.46,1947,2026-03-17
DE-FR,Rail,2218.1,377,2026-03-28
DE-FR,Truck,950.76,1322,2026-03-27
NL-FR,Truck,1744.83,606,2026-03-24
FR-ES,Sea,1440.89,555,2026-03-29
DE-FR,Air,4328.99,590,2026-04-05
DE-FR,Truck,2394.79,1692,2026-03-22
NL-FR,Sea,3123.16,893,2026-03-20
DE-FR,Rail,817.25,460,2026-03-26
NL-FR,Air,2805.65,521,2026-03-10
FR-ES,Rail,1332.17,1245,2026-03-16
NL-FR,Rail,967.73,1713,2026-03-27
NL-IT,Rail,1752.2,1089,2026-03-31
FR-ES,Truck,1462.67,1358,2026-03-25
NL-IT,Truck,774.0,432,2026-03-19
DE-FR,Sea,2175.57,1705,2026-03-28
DE-FR,Air,5819.23,659,2026-03-13
NL-DE,Air,7718.12,1455,2026-03-26
NL-IT,Truck,1373.99,410,2026-03-31
DE-FR,Rail,828.67,719,2026-03-18
NL-FR,Truck,2315.8,1396,2026-03-26
NL-FR,Sea,2564.38,1029,2026-03-14
DE-FR,Air,2970.03,594,2026-03-07
NL-DE,Truck,1416.47,286,2026-03-17
FR-ES,Air,6581.47,185,2026-03-25
DE-FR,Truck,2170.82,1736,2026-03-09
NL-IT,Air,5311.94,1851,2026-03-27
NL-IT,Air,3067.33,889,2026-04-01
NL-IT,Sea,1087.51,1999,2026-03-24
NL-DE,Truck,737.01,1561,2026-03-13
NL-IT,Sea,3758.59,228,2026-03-12
NL-IT,Truck,1463.1,1079,2026-03-17
NL-IT,Truck,565.24,1748,2026-03-30
NL-DE,Sea,1826.64,373,2026-03-24
FR-ES,Air,4317.94,1214,2026-03-19
NL-DE,Air,7083.63,1181,2026-03-11
NL-FR,Truck,2448.74,414,2026-03-26
NL-FR,Truck,577.86,1316,2026-03-20
FR-ES,Rail,2706.89,832,2026-04-02
NL-IT,Truck,1938.32,760,2026-04-03
NL-IT,Air,6552.66,1232,2026-03-09
NL-FR,Sea,3682.28,651,2026-04-01
NL-FR,Truck,2026.22,183,2026-03-22
FR-ES,Rail,1250.3,652,2026-03-21
DE-FR,Sea,2781.41,1617,2026-03-12
NL-IT,Sea,1207.02,520,2026-04-05
NL-IT,Sea,1285.16,139,2026-03-08
NL-FR,Air,6161.71,1127,2026-04-03
FR-ES,Rail,2726.94,1371,2026-03-17
FR-ES,Sea,3793.03,1953,2026-03-28
DE-FR,Truck,1680.86,665,2026-03-31
FR-ES,Truck,1946.26,1440,2026-03-17
DE-FR,Sea,3648.2,943,2026-03-31
NL-DE,Sea,2989.14,1466,2026-03-11
FR-ES,Rail,2771.29,636,2026-03-21
NL-DE,Sea,1814.32,1505,2026-03-21
DE-FR,Sea,3998.63,1674,2026-03-21
FR-ES,Air,6574.9,852,2026-03-21
NL-FR,Sea,2243.41,1325,2026-03-10
NL-DE,Rail,2517.39,1076,2026-03-26
NL-DE,Air,2254.53,884,2026-04-02
NL-DE,Air,3779.36,1758,2026-03-16
NL-DE,Truck,705.03,1314,2026-03-12
NL-DE,Sea,2107.84,994,2026-03-13
NL-IT,Rail,2333.86,1321,2026-04-05
FR-ES,Sea,3083.79,1761,2026-03-12
NL-DE,Truck,561.72,576,2026-03-28
DE-FR,Truck,926.79,1431,2026-03-16
NL-DE,Sea,1356.62,1199,2026-03-21
NL-DE,Sea,2305.97,1972,2026-04-03
DE-FR,Rail,1158.68,468,2026-03-18
NL-FR,Sea,3516.99,1924,2026-03-23
DE-FR,Rail,1762.85,827,2026-03-10
NL-DE,Truck,2134.26,1092,2026-03-20
NL-DE,Air,2310.01,1576,2026-03-10
FR-ES,Air,7175.84,1363,2026-03-07
NL-IT,Sea,3857.4,1678,2026-03-27
DE-FR,Truck,814.55,527,2026-03-14
NL-IT,Rail,2717.11,412,2026-04-01
NL-IT,Air,3502.81,1749,2026-03-21
NL-FR,Sea,3718.26,599,2026-03-21
NL-DE,Air,2311.01,1135,2026-03-07
NL-IT,Truck,1113.55,239,2026-03-20
NL-DE,Rail,1534.91,945,2026-04-01
NL-DE,Rail,1343.69,1441,2026-03-19
FR-ES,Air,4000.78,1573,2026-03-07
NL-DE,Sea,2144.32,1264,2026-03-17
NL-IT,Rail,2413.67,227,2026-03-15
FR-ES,Truck,702.75,1915,2026-03-19
NL-DE,Sea,2296.06,1515,2026-03-11
NL-DE,Rail,1941.14,421,2026-03-31
NL-DE,Rail,1049.27,1205,2026-03-11
NL-IT,Air,4536.37,1812,2026-03-25
NL-FR,Sea,1792.83,197,2026-03-12
DE-FR,Sea,1805.6,1915,2026-03-27
NL-IT,Rail,2930.78,1562,2026-03-30
DE-FR,Sea,1226.75,652,2026-03-15
DE-FR,Air,5594.27,1606,2026-03-22
NL-FR,Rail,1388.28,1017,2026-04-03
NL-FR,Rail,1351.96,172,2026-04-05
NL-DE,Air,5660.04,1566,2026-04-02
FR-ES,Sea,2793.0,1575,2026-04-05
NL-FR,Sea,1317.72,920,2026-03-22
FR-ES,Sea,3209.61,990,2026-03-13
NL-DE,Rail,2175.45,383,2026-04-05
NL-DE,Truck,1271.23,1260,2026-04-02
DE-FR,Sea,3872.74,1196,2026-03-24
NL-DE,Rail,1214.79,941,2026-03-19
NL-IT,Sea,2300.75,1879,2026-03-10
DE-FR,Truck,2329.1,466,2026-03-22
NL-DE,Air,4606.42,1014,2026-03-13
NL-DE,Air,5679.75,1164,2026-03-27
NL-DE,Rail,2370.92,856,2026-03-14
NL-DE,Sea,3216.17,1489,2026-04-01
NL-IT,Sea,1742.68,160,2026-03-19
NL-DE,Sea,1646.03,430,2026-03-21
NL-FR,Rail,1618.84,1461,2026-03-31
NL-IT,Sea,3468.95,418,2026-03-24
NL-FR,Air,3201.69,969,2026-04-05
NL-IT,Sea,3213.75,593,2026-03-27
NL-IT,Truck,2341.53,1980,2026-03-30
NL-DE,Truck,2230.39,1817,2026-04-01
NL-IT,Truck,570.02,952,2026-04-04
NL-IT,Truck,2247.45,1311,2026-03-31
NL-FR,Rail,1898.75,1375,2026-03-26
NL-FR,Truck,2067.97,1989,2026-03-15
NL-DE,Air,4663.52,1328,2026-04-02
FR-ES,Rail,1905.79,974,2026-03-15
NL-DE,Air,7562.66,922,2026-04-03
NL-DE,Rail,825.28,1508,2026-03-31
FR-ES,Rail,1046.14,744,2026-03-20
NL-FR,Rail,2873.57,554,2026-04-03
NL-IT,Truck,2152.98,902,2026-04-02
DE-FR,Truck,515.93,1567,2026-03-10
NL-DE,Air,5320.28,376,2026-03-08
NL-DE,Sea,1229.91,1872,2026-03-14
FR-ES,Rail,2810.33,1671,2026-03-23
NL-FR,Rail,1621.74,906,2026-03-21
FR-ES,Truck,1137.22,236,2026-03-31
NL-DE,Sea,3486.61,729,2026-04-01
DE-FR,Rail,2745.63,570,2026-03-21
NL-DE,Sea,2243.55,1408,2026-03-22
DE-FR,Truck,1322.19,594,2026-03-21
FR-ES,Sea,2288.83,549,2026-04-01
NL-DE,Rail,2536.75,1537,2026-03-20
NL-FR,Rail,1164.65,598,2026-03-23
DE-FR,Rail,1579.4,214,2026-04-02
DE-FR,Rail,1942.29,1134,2026-03-23
NL-IT,Sea,1173.2,217,2026-03-22
NL-IT,Rail,2911.7,1632,2026-03-28
NL-DE,Sea,3261.6,118,2026-04-03
NL-FR,Rail,1706.1,548,2026-03-08
FR-ES,Rail,1520.61,857,2026-04-05
FR-ES,Rail,848.71,659,2026-03-20
FR-ES,Truck,734.41,394,2026-03-13
FR-ES,Rail,1927.03,1448,2026-03-11
NL-FR,Truck,1857.8,916,2026-03-30
NL-DE,Truck,2052.98,270,2026-03-12
FR-ES,Sea,2422.77,1752,2026-03-26
NL-DE,Air,6287.85,1945,2026-03-09
NL-DE,Truck,1571.31,1216,2026-03-12
NL-IT,Rail,2655.32,1487,2026-03-18
FR-ES,Rail,2541.43,438,2026-03-18
NL-IT,Rail,1690.05,238,2026-03-16
NL-FR,Rail,1653.22,534,2026-03-21
DE-FR,Rail,947.34,850,2026-03-12
DE-FR,Air,7808.39,215,2026-03-12
NL-FR,Truck,648.21,432,2026-03-24
FR-ES,Rail,1753.64,734,2026-03-27
NL-IT,Truck,1392.77,1817,2026-03-23
DE-FR,Air,5650.45,1630,2026-03-09
NL-IT,Air,2271.92,195,2026-03-10
NL-DE,Rail,1278.87,1004,2026-03-09
FR-ES,Sea,3413.48,1627,2026-03-22
NL-DE,Air,2398.78,349,2026-03-11
NL-FR,Truck,1542.15,1623,2026-03-20
DE-FR,Sea,3013.47,1664,2026-03-10
DE-FR,Sea,2987.45,1024,2026-03-11
NL-IT,Truck,1016.46,1912,2026-03-11
FR-ES,Air,7115.51,1593,2026-03-07
FR-ES,Rail,1475.19,1392,2026-03-26
NL-IT,Rail,1649.67,1948,2026-03-29
DE-FR,Truck,929.83,749,2026-03-25
NL-DE,Sea,1563.76,1853,2026-04-04
